nm_arq_in,id,titulo,data,dataAtualizacao,salario,faixaSalarial,faixaSalarialId,salarioACombinar,jobQuantity,empId,companySize,tipoEmp,localPreenchimento,descricao,perfilId,ppdPerfilId,hrenova,horario,infoAdicional,regimeContrato,benef,entradaEmp,empContratou,grupoMidia,habilidades,ppdInfo,ppdFiltro,anunciante,contratante,vagas,url_vaga,nr_reg,dh_insercao_raw,dh_arq_in,dataRemovido
catho_2021-09-15_page_8501_a_8589.parquet,17219646,Auxiliar Administrativo,2021-05-24T23:59:59Z,2021-05-24T07:28:21Z,0,"De R$ 2.001,00 a R$ 3.000,00",4,false,2,1290709,P,C,0,"<li> Será responsável por todo o processo de compras de materiais diversos, cotações, negociações, efetivação de pedidos e acompanhar prazos de entrega. Dar entrada em notas fiscais, arquivar documentos diversos, acompanhar e cobrar entrega de canhotos de notas fiscais de saída, atendimento telefônico (PABX), recepcionar visitas e auxiliar o departamento administrativo em geral. Auxiliar o departamento financeiro, com foco maior em contas a receber.</li><li> Conhecimento no pacote Office. Experiência com compras de materiais diversos. Saber negociar preços e ter facilidade de aprendizado. Profissional com conhecimento na área financeira (contas a receber).</li>",1,0,true,"De segunda a quinta-feira das 7h às 17h, Sexta-feira: das 7h às 16h.",null,CLT (Efetivo),"['Cesta Básica', 'Estacionamento', 'Vale Transporte']",null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'MAXIBARRAS', 'confidencial': True}","{'nome': 'MAXIBARRAS', 'confidencial': True}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 67, 'cidade': 'Arujá', 'total': 1}, {'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 376, 'cidade': 'Itaquaquecetuba', 'total': 1}]",https://www.catho.com.br/vagas/auxiliar-administrativo/17219646/?origem_apply=busca-de-vagas&entrada_apply=direto,1513,2021-09-15T15:43:58.000+0000,2021-09-15T12:04:07.000+0000,2021-11-09
catho_2021-10-11_page_8501_a_8903.parquet,18281099,Estágio na área de Planejamento de Eventos,2021-04-23T23:59:59Z,2021-08-18T17:28:58Z,1100,"De R$ 1.001,00 a R$ 2.000,00",3,false,1,1247946,P,C,0,"<li> Deverá estar cursando: Necessário Superior cursando em: Desejável em Administração, Marketing, Eventos ou Comunicação Social, Produção Cultural e afins.</li><li> Descrição: Será responsável por planejar e executar os eventos da empresa, de acordo com o orçamento estipulado. Seguir os processos operacionais internos, realizando os alinhamentos necessários com os demais setores. Zelar pela marca e garantir a sua visibilidade em cada evento executado. Atender os clientes internos e externos com cordialidade e eficiência. Organizará processos existentes para uma maior eficiência na execução dos eventos. Acompanhamento dos eventos executados, realizar as contratações necessárias para os eventos, solicitando os serviços de acordo com cada contrato. Fazer os pedidos de pagamentos necessários, liberações de produtos e fechamento dos contratos. Criar, Preencher, analisar e gerir medidores de desempenho.</li><li> Requisitos: Conhecimento de Planejamento e medidores controle. Desejável conhecimento da área de eventos. Facilidade na elaboração e preenchimento de relatórios. Facilidade com atendimento ao público. Domínio em pacote Office (desejável Excel avançado). Boa fluência verbal. Boa Escrita. Capacidade de desempenhar várias funções ao mesmo tempo. Capacidade de aprendizado rápido. Ser dinâmico e proativo. Imprescindível ser Organizado e metódico. Desejável conhecimento em técnicas de gestão de projetos. </li>",3,0,true,null,Modalidade: presencial Local: Casa Forte - Recife Horário: 10:00 às 17:00 terça à sábado,null,[],2021-05-25T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'GRUPO BALLROOM', 'confidencial': False}","{'nome': 'GRUPO BALLROOM', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 17, 'estado': 'Pernambuco', 'uf': 'PE', 'cidadeId': 7441, 'cidade': 'Recife', 'total': 1}]",https://www.catho.com.br/vagas/estagio-na-area-de-planejamento-de-eventos/18281099/?origem_apply=busca-de-vagas&entrada_apply=direto,7965,2021-10-11T23:31:18.000+0000,2021-10-11T12:27:31.000+0000,2021-11-09
catho_2021-09-15_page_3001_a_3500.parquet,18291228,Técnico em Eletrônica - Automação Bancária,2021-08-24T23:59:59Z,2021-08-24T15:21:32Z,2200,"De R$ 2.001,00 a R$ 3.000,00",4,false,18,251561,P,C,1,"<li> Atendimento em caixas eletrônicos (ATM). Instalação, desmontagem, montagem, manutenção preventiva e corretiva em equipamentos de informática.</li><li> Ensino Técnico em Eletrônica completa. Desejável Especialização: Eletrônica e/ou Informática. Desejável conhecimento de Software.</li>",1,0,false,Comercial.,Disponibilidade de horário e para viajar. Possuir CNH.,CLT (Efetivo),"['Assistência Médica / Medicina em grupo', 'Carro fornecido pela empresa', 'Tíquete Alimentação', 'Tíquete Refeição', 'Vale Transporte']",2011-01-19T23:59:59Z,5,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'STM', 'confidencial': True}","{'nome': 'Confidencial', 'confidencial': True}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 16, 'estado': 'Paraná', 'uf': 'PR', 'cidadeId': 6243, 'cidade': 'Curitiba', 'total': 10}, {'paisId': 31, 'pais': 'Brasil', 'estadoId': 16, 'estado': 'Paraná', 'uf': 'PR', 'cidadeId': 6511, 'cidade': 'Pato Branco', 'total': 4}, {'paisId': 31, 'pais': 'Brasil', 'estadoId': 16, 'estado': 'Paraná', 'uf': 'PR', 'cidadeId': 6748, 'cidade': 'União da Vitoria', 'total': 4}]",https://www.catho.com.br/vagas/tecnico-em-eletronica---automacao-bancaria/18291228/?origem_apply=busca-de-vagas&entrada_apply=direto,8194,2021-09-15T15:43:58.000+0000,2021-09-15T10:15:07.000+0000,2021-11-09
catho_2021-09-29_page_501_a_1000.parquet,18319542,Inspetor de Qualidade,2021-09-24T23:59:59Z,2021-09-24T15:35:09Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,1,1632,M,C,0,"<li> Acompanhar todas as etapas do processo de produção, conforme especificado no procedimento da Qualidade. Conferir e liberar os produtos. Conferir os itens de envase nos sachês, tais como: codificação, dimensão, vazamento, corte, registros, laminado, aspecto, entre outros, visando liberar a cabine para o início da produção. Realizar todo o processo de conferência das cabines de produção, verificando limpeza, organização e condições de máquina, visando liberar as linhas produtivas. Realizar a liberação de produtos retrabalhados, visando atender a produção, entre demais atividades da área.</li><li> Desejável ter conhecimentos em boas práticas de fabricação. Técnico na área de Qualidade.</li>",1,0,true,"De segunda a sábado, das 13:43 às 22:00.",null,CLT (Efetivo),[],2010-05-14T23:59:59Z,28,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'GRAND PACK', 'confidencial': True}","{'nome': 'GRAND PACK', 'confidencial': True}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 226, 'cidade': 'Diadema', 'total': 1}]",https://www.catho.com.br/vagas/inspetor-de-qualidade/18319542/?origem_apply=busca-de-vagas&entrada_apply=direto,4526,2021-09-29T13:30:56.000+0000,2021-09-29T09:19:07.000+0000,null
catho_2021-10-11_page_8501_a_8903.parquet,18384039,Secretária,2021-05-08T23:59:59Z,2021-05-08T11:43:46Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,1,1023260,P,C,1,"<li> Controle da agenda e dos compromissos do executivo, planejamentos de viagens, despacho e conferência de documentos, organização de arquivos, atendimento telefônico, recepção de clientes, planejamento e organização de festas e eventos, atendimento e apoio a clientes internos e externos, acompanhamento e preparação de reuniões, realização de atas, dentre outras, planilhas</li>",1,0,true,null,null,null,[],2019-10-11T23:59:59Z,1,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'CLINICA NUCLEAR', 'confidencial': True}","{'nome': 'Confidencial', 'confidencial': True}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 5, 'estado': 'Bahia', 'uf': 'BA', 'cidadeId': 1856, 'cidade': 'Salvador', 'total': 1}]",https://www.catho.com.br/vagas/secretaria/18384039/?origem_apply=busca-de-vagas&entrada_apply=direto,7784,2021-10-11T23:31:18.000+0000,2021-10-11T12:27:31.000+0000,2021-11-09
catho_2021-10-01_page_1_a_500.parquet,18399624,Operador de Telemarketing,2021-09-29T23:59:59Z,2021-09-30T16:01:18Z,1100,"De R$ 1.001,00 a R$ 2.000,00",3,false,1,618573,M,R,0,"<li> O profissional ficará responsável por prestar atendimento de excelência aos clientes, assim como demais atividades pertinentes ao cargo.</li>",1,0,false,null,null,null,[],2011-02-18T23:59:59Z,2,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'CARPE DIEM CONSULTORIA', 'confidencial': False}","{'nome': 'CARPE DIEM CONSULTORIA', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 783, 'cidade': 'São Paulo', 'total': 1}]",https://www.catho.com.br/vagas/operador-de-telemarketing/18399624/?origem_apply=busca-de-vagas&entrada_apply=direto,4819,2021-10-01T17:37:21.000+0000,2021-10-01T09:11:44.000+0000,null
catho_2021-09-17_page_1_a_500.parquet,18450090,Supervisor de Produção,2021-09-16T23:59:59Z,2021-09-16T10:55:24Z,3900,"De R$ 3.001,00 a R$ 4.000,00",5,false,2,1118151,P,R,0,"<li> Responsável pela organização do fluxo de produção de equipamentos eletromédicos. Auxiliar na pesquisa de novos materiais e fornecedores. Auxiliar no planejamento de compra de materiais. Preenchimento e conferência da documentação pertinente a produção e requisitos da gestão de qualidade. Prestar apoio ao processo de planejamento da demanda de compras quando necessário, criticando níveis de compras, estoque de segurança e parâmetros de programação. Auxiliar no desenvolvimento de fornecedores, acompanhar o processo de compras e realizar compras de serviços, dando apoio contínuo ao departamento de compras. Auxiliar na remessa e expedição de materiais acabados bem como todas as tarefas oriundas destes processos. Controle do estoque no almoxarifado. Montagem de kits para produção de equipamentos. Participar da realização dos inventários, recebimentos de correspondências do setor de produção. Participar de reuniões internas/externas, programas de treinamentos introdutórios e capacitações continuadas ministrados pela direção da empresa ou fornecedores. Cuidar da limpeza e organização do setor de produção.</li><li> Graduação em Engenharia de Produção, Engenharia de Qualidade ou Engenharia Industrial. Essencial que tenha ótimo relacionamento interpessoal e habilidades de liderança e organização. Experiência e conhecimento em Lean Manufacturing desejável. Experiência em gestão de pessoas em linha de produção. Inglês intermediário desejável.</li>",1,0,false,"Jornada de trabalho de 8h às 18h, com uma hora de intervalo para almoço, de segunda à sexta-feira.","DADOS EMPRESA CONTRATANTE: Empresa: Confidencial. Local de Trabalho: Lauro de Freitas - Ba. Endereço: Lauro de Freitas - Ba. BENEFÍCIOS: Salário: R$ 3500,00 + Vale Transporte + Vale Alimentação. Para garantir sua participação no processo seletivo, pedimos que acesse o link a seguir, faça o cadastro na plataforma de Recrutamento & Seleção da Arttha Gestão & RH e conclua todas as etapas avaliativas disponíveis. Link: https://arttha.gupy.io/jobs/782220 Informamos que este cadastro não gerará nenhum custo para você e que todas as etapas realizadas a partir deste momento farão parte do processo, sendo avaliativas e eliminatórias.",CLT (Efetivo),"['Tíquete Alimentação', 'Vale Transporte']",2017-04-17T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'ARTTHA GESTÃO & RH', 'confidencial': False}","{'nome': 'ARTTHA GESTÃO & RH', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 5, 'estado': 'Bahia', 'uf': 'BA', 'cidadeId': 1683, 'cidade': 'Lauro de Freitas', 'total': 1}, {'paisId': 31, 'pais': 'Brasil', 'estadoId': 5, 'estado': 'Bahia', 'uf': 'BA', 'cidadeId': 1856, 'cidade': 'Salvador', 'total': 1}]",https://www.catho.com.br/vagas/supervisor-de-producao/18450090/?origem_apply=busca-de-vagas&entrada_apply=direto,302,2021-09-17T15:13:46.000+0000,2021-09-17T09:10:57.000+0000,2021-11-09
catho_2021-09-15_page_8001_a_8500.parquet,18539284,Vendedor Externo,2021-06-16T23:59:59Z,2021-06-16T00:17:38Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,1,1248905,P,R,1,"<li> Trabalho externo de visitas a potenciais clientes; Pesquisa junto a empresas para colocação do produto; Busca via internet de potenciais clientes por atividade. É indispensável: Experiência na prática em venda de alimentos, bebidas ou similares. Formação: Ensino Médio Completo. Remuneração: R$ 1.500,00. Benefícios: VT + VR. Plano de Saúde, a partir do 4 mês. Plano Dental, a partir do 4 mês. Horários : Segunda à Sexta, das 8:00 às 17:48.</li>",1,0,true,null,null,null,[],2021-01-21T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'IRH CONSULTORIA', 'confidencial': True}","{'nome': 'Confidencial', 'confidencial': True}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 19, 'estado': 'Rio de Janeiro', 'uf': 'RJ', 'cidadeId': 7900, 'cidade': 'Mage', 'total': 1}]",https://www.catho.com.br/vagas/vendedor-externo/18539284/?origem_apply=busca-de-vagas&entrada_apply=direto,9984,2021-09-15T15:43:58.000+0000,2021-09-15T12:02:08.000+0000,2021-11-09
catho_2021-09-15_page_501_a_1000.parquet,18560764,Auxiliar de Vendas Interno,2021-09-10T23:59:59Z,2021-09-10T16:12:02Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,1,747618,P,C,1,"<li> Digitar pedidos em sistema interno. Suporte a representantes, envio de e-mails, cotações, atendimento telefônico ao cliente.</li><li> Experiência na área, conhecimento em Excel, pro atividade, conhecimento em Outlook</li>",1,0,true,"De segunda a sexta, das 08:00 às 17:30 com 1 hora de almoço.",null,null,"['Cesta Básica', 'Vale Transporte']",null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'M.F. MANGUEIRAS', 'confidencial': False}","{'nome': 'M.F. Com. e Ind. de Mangueiras e Art. de Bor. Ltda', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 226, 'cidade': 'Diadema', 'total': 1}]",https://www.catho.com.br/vagas/auxiliar-de-vendas-interno/18560764/?origem_apply=busca-de-vagas&entrada_apply=direto,4074,2021-09-15T15:43:58.000+0000,2021-09-15T09:21:57.000+0000,null
catho_2021-09-15_page_8001_a_8500.parquet,18566775,Montador de Estruturas Metálicas,2021-06-17T23:59:59Z,2021-06-17T09:09:42Z,1700,"De R$ 1.001,00 a R$ 2.000,00",3,false,2,1283225,P,C,0,"<li> Atuar com montagem de componentes de estruturas metálicas, seguindo desenhos e especificações, utilizando equipamentos de içar e transportar e outros apetrechos apropriados, para obter produtos acabados destinados a construção de edifícios, galpões, mezaninos, pontes, torres de sondagem e outras obras. Indispensável leitura e interpretação de desenhos técnicos e conhecimento em soldas MIG e eletrodo.</li><li> Experiência na área. Necessário Ensino Médio completo. </li>",1,0,true,segunda a sexta de 7:00 as 17:00.,Disponibilidade para eventuais viagens. Habilitação B será um diferencial.,CLT (Efetivo),"['Tíquete Refeição', 'Vale Transporte']",null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'BH ESTRUTURAS METÁLICAS', 'confidencial': False}","{'nome': 'BH ESTRUTURAS METÁLICAS', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 13, 'estado': 'Minas Gerais', 'uf': 'MG', 'cidadeId': 4307, 'cidade': 'Contagem', 'total': 2}]",https://www.catho.com.br/vagas/montador-de-estruturas-metalicas/18566775/?origem_apply=busca-de-vagas&entrada_apply=direto,9828,2021-09-15T15:43:58.000+0000,2021-09-15T12:02:08.000+0000,2021-11-09
catho_2021-09-16_page_1_a_500.parquet,18582362,Analista de Marketing Digital,2021-04-28T23:59:59Z,2021-09-15T14:34:48Z,0,"De R$ 2.001,00 a R$ 3.000,00",4,false,1,1202088,P,C,1,"<li> Criação de paginas de alta conversão, geração de leeds, site, redes sociais, Google e relatórios de medição de resultados.</li>",1,0,false,null,"Ter iniciativa e dinamismo, atitude ""hands-on"", criatividade, organização e foco em resultados.",Prestador de serviços (PJ),[],null,1,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'ARQUITECH', 'confidencial': False}","{'nome': 'Arquitech - Negocios Imobiliarios Eireli', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 492, 'cidade': 'Mogi das Cruzes', 'total': 1}]",https://www.catho.com.br/vagas/analista-de-marketing-digital/18582362/?origem_apply=busca-de-vagas&entrada_apply=direto,9895,2021-09-16T12:44:12.000+0000,2021-09-16T09:11:06.000+0000,2021-11-09
catho_2021-09-15_page_8001_a_8500.parquet,18614630,Ajudante de Produção,2021-06-21T23:59:59Z,2021-06-21T11:56:01Z,0,"De R$ 1.001,00 a R$ 2.000,00",3,false,2,166265,M,C,0,"<li> Em nossa empresa, o auxiliar de produção atua diretamente na linha de produção, onde nossos produtos são preparados para atender aos nossos clientes, sendo o responsável por organizar a área de trabalho, separar os materiais e ferramentas que serão utilizados, sempre zelando pela organização e limpeza da linha de produção. Principais responsabilidades: Organizar os materiais no depósito, seguindo esquema determinado da empresa. Manter a identificação dos materiais, visando facilitar o contínuo andamento do processo conforme ordem de produção. Operar ponte para transportar materiais do estoque determinado da empresa. Medir o material, acompanhando sua especificação, a fim de assegurar a conformidade do produto. Arrumar a carga do caminhão conforme a prioridade de entregas. Manter o galpão limpo e e organizado. Acondicionar os produtos de forma a preservar sua integridade e características durante o transporte.</li><li> Conhecimentos, habilidades e experiência exigidos para um bom desempenho. Ensino Médio completo. Desejável experiência anterior.</li>",1,0,true,Segunda a quinta das 07:00 as 17:00 - Sexta das 07:00 as 16:00hs com 1 hora de intervalo,"Somos uma empresa da área comercial e industrial do aço, com 3 unidades no Brasil e esta vaga é exclusiva para a nossa quarta unidade em Santa Catarina que será inaugurada no início do segundo semestre de 2021. Atuamos em todo o País e na América Latina.",CLT (Efetivo),"['Participação nos lucros', 'Seguro de Vida em Grupo', 'Vale Transporte']",null,1,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'AÇOS TREFITA', 'confidencial': False}","{'nome': 'AÇOS TREFITA', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 24, 'estado': 'Santa Catarina', 'uf': 'SC', 'cidadeId': 9280, 'cidade': 'Araquari', 'total': 2}]",https://www.catho.com.br/vagas/ajudante-de-producao/18614630/?origem_apply=busca-de-vagas&entrada_apply=direto,9577,2021-09-15T15:43:58.000+0000,2021-09-15T12:02:08.000+0000,2021-11-09
catho_2021-09-15_page_7501_a_8000.parquet,18639669,Projetista Hidráulico,2021-07-22T23:59:59Z,2021-07-23T15:33:47Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,2,124228,P,C,0,"<li> Conhecimentos em Autocad 
Elaboração de projetos hidráulicos em Autocad;
Leitura e interpretação de Desenho (formas, estrutura, arquitetônica)</li><li> Conhecimentos em Autocad .</li><li> Arquitetura, Engenharia Civil.</li>",3,0,false,null,horário a combinar,null,[],2012-09-06T23:59:59Z,8,[6],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'PRIMEIRO MUNDO', 'confidencial': False}","{'nome': 'PRIMEIRO MUNDO', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 343, 'cidade': 'Indaiatuba', 'total': 2}]",https://www.catho.com.br/vagas/projetista-hidraulico/18639669/?origem_apply=busca-de-vagas&entrada_apply=direto,8200,2021-09-15T15:43:58.000+0000,2021-09-15T11:50:17.000+0000,2021-11-09
catho_2021-09-15_page_4501_a_5000.parquet,18656987,Engenheiro de Dados Sênior,2021-08-13T23:59:59Z,2021-08-16T09:58:11Z,0,"De R$ 10.001,00 a R$ 15.000,00",12,false,1,550949,P,R,1,"<li> Você trabalhará em estreita colaboração com nossa equipe de desenvolvimento, bem como com outras áreas da empresa, para melhorar e apoiar nossa tomada de decisão de dados.
- Coleta, análise e interpretação dos dados;
- Criar comparações estatísticas;
- Geração de Relatórios e documentação do projeto/produto;
- Busca/Pesquisa de novas ferramentas e/ou tecnologias do mercado;
- Tratamento/extração e análise de dados para ingestão em clusters de Big Data e afins;
- Executar apresentações para explorar e expor resultados obtidos;
- Criar pipelines confiáveis</li><li> Requisitos:
- Experiência com Bancos de dados SQL, relacionais (Postgres / RDS);
- Experiência com banco de dados não relacionais (MongoDB);
- Conhecimento em Ferramentas ETL e pipelines de dados;
- Conhecimento em Ferramentas de visualização (Metabase, entre outras);
- Experiência em Limpeza e avaliação de dados.

Perfil profissional:
- Hands On, disposto a fazer diversas atividades da área;
- Profissional multi skills e com a mente aberta para aprender novas tecnologias e ferramentas;
- Profissionais proativos, dinâmicos(as), com disposição para aprender algo novo todos os dias;
- Motivados(as) em fazer parte de um time que busca entregar resultados de forma simples, eficiente e sustentável;
- Capacidade de gerenciar seu próprio tempo;
- Iniciativa e capacidade de trabalhar de forma independente e em equipe;</li>",1,0,false,Segunda a sexta,Full home office,CLT (Efetivo),"['Assistência Médica / Medicina em grupo', 'Assistência Odontológica']",2010-08-02T23:59:59Z,22,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'FARISCO RH', 'confidencial': False}","{'nome': 'Confidencial', 'confidencial': True}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 783, 'cidade': 'São Paulo', 'total': 1}]",https://www.catho.com.br/vagas/engenheiro-de-dados-senior/18656987/?origem_apply=busca-de-vagas&entrada_apply=direto,9921,2021-09-15T15:43:58.000+0000,2021-09-15T10:46:00.000+0000,null
catho_2021-09-15_page_1001_a_1500.parquet,18668679,Auxiliar Administrativo,2021-09-08T23:59:59Z,2021-09-08T17:06:36Z,0,"De R$ 1.001,00 a R$ 2.000,00",3,false,1,1147881,P,C,0,"<li> Consiste em atividades rotineiras de escritório, atender telefone, atender e auxiliar representantes comerciais, preencher e acompanhar solicitações, responder e atender e-mails. Além de gerar relatórios para auxiliar a análise do time comercial. Contas a pagar e receber.</li><li> Experiência com Excel, Word e e-mail.</li>",1,0,false,"De segunda a quinta, das 8:00 às 18:00, sexta, das 8:00 às 17:00.",null,CLT (Efetivo),"['Assistência Odontológica', 'Tíquete Refeição', 'Vale Transporte']",2015-07-24T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'MECTRONIC - ELETROMAR', 'confidencial': False}","{'nome': 'MECTRONIC - ELETROMAR', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 783, 'cidade': 'São Paulo', 'total': 1}]",https://www.catho.com.br/vagas/auxiliar-administrativo/18668679/?origem_apply=busca-de-vagas&entrada_apply=direto,3979,2021-09-15T15:43:58.000+0000,2021-09-15T09:32:01.000+0000,2021-11-09
catho_2021-09-16_page_1_a_500.parquet,18675984,Assistente de Departamento Pessoal,2021-05-20T23:59:59Z,2021-09-15T14:17:13Z,0,"De R$ 1.001,00 a R$ 2.000,00",3,false,1,1025470,P,C,0,"<li> Pagamento de contas. Organização de agenda. Realizar reuniões e fazer ata. Verificar e-mails, e organizá-los Agendar viagens.</li><li> Ser proativa. Disponibilidade para início imediato.</li>",1,0,false,A combinar,null,CLT (Efetivo),['Vale Transporte'],null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'LARISSA SILVA ODONTOLOGIA ESTETICA', 'confidencial': False}","{'nome': 'LARISSA SILVA ODONTOLOGIA ESTETICA', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 783, 'cidade': 'São Paulo', 'total': 1}]",https://www.catho.com.br/vagas/assistente-de-departamento-pessoal/18675984/?origem_apply=busca-de-vagas&entrada_apply=direto,9891,2021-09-16T12:44:12.000+0000,2021-09-16T09:11:06.000+0000,2021-11-09
catho_2021-09-15_page_3001_a_3500.parquet,18678618,Designer Instrucional / Analista de Treinamento,2021-08-25T23:59:59Z,2021-08-25T14:22:11Z,0,"De R$ 2.001,00 a R$ 3.000,00",4,false,1,419303,G,C,0,"<li> Atividades: Desenvolver treinamentos para plataforma EAD; Estruturar e desenvolver roteiros de treinamento; Implementação de treinamentos dinâmicos para engajamento empregados.</li><li> Superior cursando ou completo em Design Gráfico, pedagogia ou outros. Conhecimento em Adobe Premiere, Photoshop e Editor de Vídeo. Conhecimento no desenvolvimento de treinamentos. Conhecimento em ilustração/animação será um diferencial.</li>",1,0,true,"De segunda a sexta, das 08h às 17h48.",null,CLT (Efetivo),"['Assistência Médica / Medicina em grupo', 'Cesta Básica', 'Seguro de Vida em Grupo', 'Seguro Saúde', 'Vale Transporte']",2008-02-13T23:59:59Z,1,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'MANÁ REFEIÇÕES DO BRASIL', 'confidencial': False}","{'nome': 'MANÁ REFEIÇÕES DO BRASIL', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 24, 'estado': 'Santa Catarina', 'uf': 'SC', 'cidadeId': 9439, 'cidade': 'Joinville', 'total': 1}]",https://www.catho.com.br/vagas/designer-instrucional-/-analista-de-treinamento/18678618/?origem_apply=busca-de-vagas&entrada_apply=direto,3931,2021-09-15T15:43:58.000+0000,2021-09-15T10:15:07.000+0000,2021-11-09
